Issue key,Issue ID,"Custom field 
(CRM Company)",Status,Severity,Original Severity,Created,Resolved,IMT,IMT RCA,Environment,Origin,Start Date & Time,End Date & Time,Downtime,"Issue classification
(Application/Platform)"
TSR-373376,562832,Customer 2,Permanently Closed,Severity 1,Severity 1,8-12-22 6:49 AM,8-12-22 7:42 AM,No,No,Production,Internal,8-12-22 6:49 AM,8-12-22 7:35 AM,,Application
TSR-371605,560884,Customer 2,Permanently Closed,Severity 1,Severity 1,8-10-22 6:40 AM,8-10-22 7:46 AM,No,No,Production,Client,8-10-22 6:40 AM,8-10-22 7:45 AM,,Application
TSR-371560,560835,Customer 2,Permanently Closed,Severity 1,Severity 1,8-10-22 4:31 AM,8-10-22 5:53 AM,Yes,No,Production,Internal,8-10-22 4:31 AM,8-10-22 5:52 AM,,Application
TSR-369903,559011,Customer 2,Permanently Closed,Severity 1,Severity 1,8-8-22 11:28 AM,8-8-22 12:14 PM,Yes,No,Production,Client,8-8-22 11:18 AM,8-8-22 11:30 AM,,Application
TSR-369900,559008,Customer 2,Permanently Closed,Severity 1,Severity 1,8-8-22 11:27 AM,8-8-22 12:14 PM,Yes,No,Production,Client,8-8-22 11:18 AM,8-8-22 11:30 AM,,Application
TSR-369331,558434,Customer 2,Permanently Closed,Severity 1,Severity 1,8-6-22 5:19 AM,8-6-22 6:57 AM,No,Yes,Production,Internal,8-6-22 5:19 AM,8-6-22 6:56 AM,,Application
TSR-368975,558055,Customer 2,Permanently Closed,Severity 1,Severity 2,8-5-22 6:53 PM,8-6-22 12:44 AM,Yes,No,Production,Client,8-5-22 6:53 PM,8-6-22 12:44 AM,,Product
TSR-368499,557546,Customer 2,Permanently Closed,Severity 1,Severity 1,8-5-22 5:53 AM,8-5-22 1:33 PM,Yes,No,Production,Internal,8-5-22 5:53 AM,8-5-22 7:36 AM,,Application
TSR-368407,557448,Customer 2,Permanently Closed,Severity 1,Severity 1,8-5-22 2:05 AM,8-5-22 2:39 AM,Yes,No,Production,Internal,8-5-22 2:05 AM,8-5-22 2:35 AM,,Application
TSR-352914,540735,Customer 2,Permanently Closed,Severity 1,Severity 1,7-15-22 12:03 PM,7-15-22 12:50 PM,,,,Client,7-15-22 12:03 PM,7-15-22 12:50 PM,,Application
TSR-346428,533695,Customer 2,Permanently Closed,Severity 1,Severity 1,7-6-22 2:03 PM,7-8-22 3:01 AM,,,,Client,7-6-22 2:03 PM,7-8-22 2:58 AM,,Application
TSR-335829,522189,Customer 2,Permanently Closed,Severity 1,Severity 1,6-21-22 12:30 PM,6-21-22 8:33 PM,,,,Client,6-21-22 12:30 PM,6-21-22 8:33 PM,,
TSR-334942,521238,Customer 2,Permanently Closed,Severity 1,Severity 1,6-20-22 10:59 AM,6-20-22 2:37 PM,,,,Client,6-20-22 10:59 AM,6-20-22 2:37 PM,,
TSR-333352,519484,Customer 2,Customer Replied,Severity 1,Severity 1,6-16-22 5:59 PM,n/a,,,,Internal,6-16-22 5:59 PM,n/a,,
TSR-330650,516517,Customer 2,Permanently Closed,Severity 1,Severity 1,6-13-22 5:39 PM,6-13-22 7:35 PM,,,,Client,6-13-22 5:39 PM,6-13-22 7:35 PM,,
TSR-330404,516255,Customer 2,Permanently Closed,Severity 1,Severity 1,6-13-22 1:26 PM,6-13-22 3:51 PM,,,,Client,6-13-22 1:26 PM,6-13-22 3:40 PM,,
TSR-326392,511907,Customer 2,Permanently Closed,Severity 1,Severity 1,6-7-22 6:02 AM,6-7-22 3:06 PM,,,,Client,6-7-22 6:02 AM,6-7-22 9:42 AM,,
TSR-323825,509091,Customer 2,Permanently Closed,Severity 1,Severity 1,6-2-22 12:16 PM,6-2-22 1:21 PM,,,,Client,6-2-22 12:16 PM,6-2-22 1:10 PM,,
TSR-381501,571944,Customer 3,Permanently Closed,Severity 1,Severity 1,8-25-22 4:32 AM,8-25-22 4:59 AM,Yes,No,Production,Internal,8-25-22 4:22 AM,8-25-22 4:35 AM,,Application
TSR-378426,568319,Customer 3,Permanently Closed,Severity 1,Severity 1,8-20-22 11:22 AM,8-20-22 11:57 AM,Yes,No,Production,Internal,8-20-22 11:22 AM,8-20-22 11:57 AM,,Platform
TSR-375066,564637,Customer 3,Permanently Closed,Severity 1,Severity 1,8-16-22 10:27 AM,8-16-22 10:46 AM,Yes,No,Production,Client,8-16-22 10:27 AM,8-16-22 10:44 AM,0:17:00,Application
TSR-366908,555826,Customer 3,Permanently Closed,Severity 1,Severity 2,8-3-22 12:02 PM,8-3-22 1:54 PM,Yes,No,Production,Client,8-3-22 12:02 PM,8-3-22 2:48 PM,,Application
TSR-365639,554403,Customer 3,Permanently Closed,Severity 1,Severity 1,8-1-22 8:18 PM,8-1-22 9:05 PM,No,No,Production,Internal,8-1-22 8:18 PM,8-1-22 9:05 PM,0:47:00,Application
TSR-344751,531883,Customer 3,Permanently Closed,Severity 1,Severity 1,7-4-22 3:02 PM,7-4-22 4:12 PM,,,,Internal,7-4-22 2:46 PM,7-4-22 3:32 PM,,Platform
TSR-338440,525056,Customer 3,Permanently Closed,Severity 1,Severity 1,6-24-22 1:51 PM,6-24-22 3:22 PM,,,,Internal,6-24-22 1:41 PM,6-24-22 2:43 PM,,
TSR-331417,517343,Customer 3,Permanently Closed,Severity 1,Severity 1,6-14-22 2:41 PM,6-14-22 3:00 PM,,,,Internal,6-14-22 2:41 PM,6-14-22 3:00 PM,,
TSR-329365,515173,Customer 3,Permanently Closed,Severity 1,Severity 1,6-10-22 6:52 PM,6-10-22 9:30 PM,,,,Internal,6-10-22 6:44 PM,6-10-22 7:53 PM,,
TSR-403975,596468,Customer 4,Permanently Closed,Severity 1,Severity 1,28-09-2022 08:28,28-09-2022 09:12,No,No,Production,Internal,9-28-22 8:28 AM,9-28-22 9:12 AM,,Platform
TSR-401808,594119,Customer 4,Permanently Closed,Severity 1,Severity 1,24-09-2022 03:57,24-09-2022 16:44,Yes,No,Production,Internal,9-24-22 3:57 AM,9-24-22 4:47 PM,,Application
TSR-400395,592607,Customer 4,Permanently Closed,Severity 1,Severity 2,22-09-2022 12:38,22-09-2022 12:49,Yes,No,Production,Internal,9-22-22 12:38 PM,9-22-22 12:49 PM,,Platform
TSR-400303,592492,Customer 4,Permanently Closed,Severity 1,Severity 1,22-09-2022 09:33,22-09-2022 10:31,Yes,No,Production,Internal,9-22-22 9:33 AM,9-22-22 10:31 AM,,Platform
TSR-400295,592481,Customer 4,Permanently Closed,Severity 1,Severity 1,22-09-2022 09:04,22-09-2022 10:59,Yes,No,Production,Client,9-22-22 9:04 AM,9-22-22 10:59 AM,,Platform
TSR-387792,578806,Customer 4,Permanently Closed,Severity 1,Severity 1,02-09-2022 14:00,02-09-2022 15:13,Yes,No,Production,Internal,9-2-22 2:00 PM,9-2-22 3:13 PM,,Application
TSR-374591,564134,Customer 4,Permanently Closed,Severity 1,Severity 1,8-15-22 1:56 PM,8-15-22 2:31 PM,Yes,No,Production,Internal,8-15-22 1:56 PM,8-15-22 2:31 PM,,Platform
TSR-372297,561658,Customer 4,Permanently Closed,Severity 1,Severity 1,8-10-22 11:47 PM,8-11-22 5:30 AM,Yes,No,Production,Client,8-10-22 11:47 PM,8-11-22 12:47 AM,,Application
TSR-372295,561656,Customer 4,Permanently Closed,Severity 1,Severity 1,8-10-22 11:44 PM,8-11-22 12:31 AM,Yes,No,Production,Client,8-10-22 11:44 PM,8-11-22 12:47 AM,,Application
TSR-371516,560787,Customer 4,Permanently Closed,Severity 1,Severity 1,8-10-22 3:01 AM,8-10-22 4:07 AM,Yes,No,Production,Client,8-10-22 3:01 AM,8-10-22 4:07 AM,,Application
TSR-369611,558715,Customer 4,Permanently Closed,Severity 1,Severity 1,8-7-22 9:23 AM,8-7-22 10:04 AM,Yes,No,Production,Internal,8-7-22 9:23 AM,8-7-22 9:59 AM,,Platform
TSR-365880,554661,Customer 4,Permanently Closed,Severity 1,Severity 1,8-2-22 5:36 AM,8-2-22 10:22 AM,Yes,No,Production,Client,8-2-22 5:36 AM,8-2-22 10:22 AM,,Platform
TSR-312426,n/a,Customer 5,Resolved,SEV1,n/a,n/a,n/a,,,,Client,5-16-22 8:19 PM,5-16-22 10:20 PM,2:01:00,Application
TSR-321583,n/a,Customer 5,Resolved,SEV1,n/a,n/a,n/a,,,,Client,5-30-22 11:08 PM,5-31-22 12:06 PM,0:56:00,Application
TSR-315659,n/a,Customer 5,Resolved,SEV1,n/a,n/a,n/a,,,,Client,5-20-22 8:59 PM,5-20-22 9:28 PM,0:29:00,Application
TSR-318301,n/a,Customer 5,Resolved,SEV1,n/a,n/a,n/a,,,,Client,5-25-22 6:43 PM,5-25-22 7:12 PM,0:29:00,Platform
TSR-309777,n/a,Customer 5,Resolved,SEV1,n/a,n/a,n/a,,,,Client,5-11-22 11:30 PM,5-11-22 11:53 PM,0:23:00,Platform
TSR-405478,598100,Customer 5,Permanently Closed,Severity 1,Severity 1,29-09-2022 19:30,29-09-2022 21:20,Yes,No,Production,Internal,9-29-22 7:30 PM,9-29-22 9:15 PM,,Application
TSR-405312,597930,Customer 5,Permanently Closed,Severity 1,Severity 1,29-09-2022 17:10,29-09-2022 18:15,Yes,No,Production,Internal,9-29-22 5:10 PM,9-29-22 6:15 PM,,Application
TSR-404560,597108,Customer 5,Permanently Closed,Severity 1,Severity 1,28-09-2022 19:43,28-09-2022 21:13,Yes,No,Production,Internal,9-28-22 7:43 PM,9-28-22 9:13 PM,,Application
TSR-404374,596913,Customer 5,Permanently Closed,Severity 1,Severity 1,28-09-2022 17:17,28-09-2022 18:13,Yes,No,Production,Internal,9-28-22 5:17 PM,9-28-22 6:13 PM,,Application
TSR-403694,596161,Customer 5,Permanently Closed,Severity 1,Severity 1,27-09-2022 21:30,27-09-2022 22:52,Yes,No,Production,Client,9-27-22 9:30 PM,9-27-22 10:30 PM,,Application
TSR-403660,596126,Customer 5,Permanently Closed,Severity 1,Severity 1,27-09-2022 20:46,27-09-2022 21:17,Yes,No,Production,Internal,9-27-22 8:46 PM,9-27-22 9:17 PM,,Application
TSR-403472,595933,Customer 5,Permanently Closed,Severity 1,Severity 1,27-09-2022 17:51,27-09-2022 18:51,Yes,No,Production,Internal,9-27-22 5:51 PM,9-27-22 6:51 PM,,Application
TSR-403206,595650,Customer 5,Permanently Closed,Severity 1,Severity 1,27-09-2022 13:25,27-09-2022 14:03,Yes,No,Production,Internal,9-27-22 1:25 PM,9-27-22 2:03 PM,,Application
TSR-402808,595200,Customer 5,Permanently Closed,Severity 1,Severity 1,26-09-2022 22:51,26-09-2022 23:05,Yes,No,Production,Client,26-09-2022 22:51,26-09-2022 23:05,,Platform
TSR-402806,595198,Customer 5,Permanently Closed,Severity 1,Severity 1,26-09-2022 22:45,26-09-2022 22:56,Yes,No,Production,Client,26-09-2022 22:45,26-09-2022 22:56,,Platform
TSR-402803,595194,Customer 5,Permanently Closed,Severity 1,Severity 1,26-09-2022 22:44,27-09-2022 00:59,Yes,No,Production,Client,9-26-22 10:44 PM,9-27-22 12:05 AM,,Application
TSR-401994,594310,Customer 5,Permanently Closed,Severity 1,Severity 1,24-09-2022 21:01,24-09-2022 21:27,Yes,No,Production,Internal,9-24-22 9:01 PM,9-24-22 9:27 PM,,Application
TSR-401936,594252,Customer 5,Permanently Closed,Severity 1,Severity 1,24-09-2022 16:21,24-09-2022 17:24,Yes,No,Production,Internal,9-24-22 4:21 PM,9-24-22 5:24 PM,,Application
TSR-401400,593689,Customer 5,Permanently Closed,Severity 1,Severity 1,23-09-2022 16:38,23-09-2022 17:04,Yes,No,Production,Internal,9-23-22 4:38 PM,9-23-22 5:04 PM,,Platform
TSR-401379,593667,Customer 5,Permanently Closed,Severity 1,Severity 1,23-09-2022 16:19,23-09-2022 17:24,Yes,No,Production,Internal,9-23-22 4:19 PM,9-23-22 5:24 PM,,Application
TSR-400669,592890,Customer 5,Permanently Closed,Severity 1,Severity 1,22-09-2022 18:00,22-09-2022 19:07,Yes,No,Production,Internal,9-22-22 6:00 PM,9-22-22 7:07 PM,,Application
TSR-400547,592766,Customer 5,Permanently Closed,Severity 1,Severity 1,22-09-2022 15:48,22-09-2022 17:12,Yes,No,Production,Internal,9-22-22 3:48 PM,9-22-22 5:12 PM,,Application
TSR-399791,591919,Customer 5,Permanently Closed,Severity 1,Severity 1,21-09-2022 16:51,21-09-2022 17:29,Yes,No,Production,Internal,9-21-22 4:51 PM,9-21-22 5:29 PM,,Application
TSR-399356,591423,Customer 5,Permanently Closed,Severity 1,Severity 1,21-09-2022 03:38,21-09-2022 04:18,Yes,No,Production,Internal,9-21-22 3:31 AM,9-21-22 3:45 AM,,Application
TSR-399028,591069,Customer 5,Permanently Closed,Severity 1,Severity 1,20-09-2022 19:24,20-09-2022 20:43,Yes,No,Production,Internal,9-20-22 7:24 PM,9-20-22 8:42 PM,,Application
TSR-398835,590868,Customer 5,Permanently Closed,Severity 1,Severity 1,20-09-2022 16:19,20-09-2022 17:13,Yes,No,Production,Internal,9-20-22 4:19 PM,9-20-22 4:50 PM,,Application
TSR-397373,589264,Customer 5,Permanently Closed,Severity 1,Severity 1,17-09-2022 17:07,17-09-2022 20:02,Yes,No,Production,Internal,9-17-22 5:07 PM,9-17-22 8:02 PM,,Application
TSR-397303,589193,Customer 5,Permanently Closed,Severity 1,Severity 1,17-09-2022 10:49,17-09-2022 10:59,Yes,No,Production,Internal,9-17-22 10:49 AM,9-17-22 10:59 AM,,Platform
TSR-396881,588725,Customer 5,Permanently Closed,Severity 1,Severity 1,16-09-2022 16:22,16-09-2022 19:45,Yes,No,Production,Internal,9-16-22 4:22 PM,9-16-22 7:09 PM,,Application
TSR-396151,587901,Customer 5,Permanently Closed,Severity 1,Severity 1,15-09-2022 17:07,15-09-2022 17:28,Yes,No,Production,Internal,9-15-22 5:07 PM,9-15-22 5:28 PM,,Application
TSR-395214,586894,Customer 5,Permanently Closed,Severity 1,Severity 1,14-09-2022 16:22,14-09-2022 17:29,Yes,No,Production,Internal,9-14-22 4:22 PM,9-14-22 5:28 PM,,Platform
TSR-394869,586517,Customer 5,Permanently Closed,Severity 1,Severity 1,14-09-2022 08:06,14-09-2022 08:20,Yes,No,Production,Internal,9-14-22 8:06 AM,9-14-22 8:20 AM,,Platform
TSR-394727,586356,Customer 5,Permanently Closed,Severity 1,Severity 1,14-09-2022 01:05,14-09-2022 03:36,Yes,No,Production,Client,9-14-22 1:05 AM,9-14-22 3:10 AM,2:05:00,Application
TSR-394493,586098,Customer 5,Permanently Closed,Severity 1,Severity 1,13-09-2022 18:26,13-09-2022 21:20,Yes,No,Production,Internal,9-13-22 6:26 PM,9-13-22 9:20 PM,,Application
TSR-393118,584555,Customer 5,Permanently Closed,Severity 1,Severity 1,11-09-2022 07:37,11-09-2022 07:49,Yes,No,Production,Internal,9-11-22 7:37 AM,9-11-22 7:49 AM,,Platform
TSR-392992,584427,Customer 5,Permanently Closed,Severity 1,Severity 1,10-09-2022 15:55,10-09-2022 16:07,Yes,No,Production,Internal,9-10-22 3:55 PM,9-10-22 4:05 PM,,Platform
TSR-392555,583964,Customer 5,Permanently Closed,Severity 1,Severity 1,09-09-2022 18:44,09-09-2022 19:42,Yes,Yes,Production,Internal,9-9-22 6:44 PM,9-9-22 7:06 PM,,Application
TSR-392063,583452,Customer 5,Permanently Closed,Severity 1,Severity 1,09-09-2022 03:45,09-09-2022 05:35,Yes,No,Production,Internal,9-9-22 3:45 AM,9-9-22 4:37 AM,,Platform
TSR-391127,582451,Customer 5,Permanently Closed,Severity 1,Severity 1,08-09-2022 02:27,08-09-2022 05:28,Yes,No,Production,Client,9-8-22 2:27 AM,9-8-22 5:15 AM,,Application
TSR-391111,582434,Customer 5,Permanently Closed,Severity 1,Severity 1,08-09-2022 01:51,08-09-2022 05:27,Yes,No,Production,Client,9-8-22 1:51 AM,9-8-22 5:15 AM,,Application
TSR-390928,582226,Customer 5,Permanently Closed,Severity 1,Severity 1,07-09-2022 20:34,08-09-2022 02:43,No,No,Production,Client,9-7-22 8:34 PM,9-8-22 2:43 AM,,Application
TSR-390878,582173,Customer 5,Permanently Closed,Severity 1,Severity 1,07-09-2022 19:47,07-09-2022 21:40,Yes,No,Production,Internal,9-7-22 7:47 PM,9-7-22 9:40 PM,,Application
TSR-390835,582123,Customer 5,Permanently Closed,Severity 1,Severity 1,07-09-2022 18:48,07-09-2022 21:41,Yes,No,Production,Internal,9-7-22 6:48 PM,9-7-22 9:41 PM,,Application
TSR-388440,579508,Customer 5,Permanently Closed,Severity 1,Severity 1,03-09-2022 15:08,03-09-2022 18:58,Yes,No,Production,Internal,9-3-22 3:08 PM,9-3-22 6:58 PM,,Application
TSR-387955,578984,Customer 5,Permanently Closed,Severity 1,Severity 1,02-09-2022 17:30,02-09-2022 18:14,Yes,No,Production,Internal,9-2-22 5:30 PM,9-2-22 6:14 PM,,Application
TSR-387484,578471,Customer 5,Permanently Closed,Severity 1,Severity 1,02-09-2022 02:54,02-09-2022 03:13,No,No,Production,Internal,9-2-22 2:54 AM,9-2-22 3:11 AM,,Platform
TSR-387409,578388,Customer 5,Permanently Closed,Severity 1,Severity 1,01-09-2022 22:43,01-09-2022 23:05,Yes,No,Production,Internal,9-1-22 10:43 PM,9-1-22 11:05 PM,,Platform
TSR-386517,577405,Customer 5,Permanently Closed,Severity 1,Severity 1,01-09-2022 00:06,01-09-2022 01:11,Yes,No,Production,Client,9-1-22 12:06 AM,9-1-22 1:10 AM,0:54:00,Application
TSR-385409,576220,Customer 5,Permanently Closed,Severity 1,Severity 1,8-30-22 7:15 PM,8-30-22 8:31 PM,Yes,No,Production,Client,8-30-22 7:15 PM,8-30-22 8:31 PM,,Application
TSR-384931,575696,Customer 5,Permanently Closed,Severity 1,Severity 4,8-30-22 1:23 PM,8-30-22 2:58 PM,Yes,No,Production,Internal,8-30-22 1:23 PM,8-30-22 2:58 PM,,Application
TSR-384404,575098,Customer 5,Permanently Closed,Severity 1,Severity 1,8-29-22 7:40 PM,8-29-22 8:35 PM,Yes,No,Production,Internal,8-29-22 7:40 PM,8-29-22 8:35 PM,,Platform
TSR-384223,574913,Customer 5,Permanently Closed,Severity 1,Severity 1,8-29-22 5:47 PM,8-29-22 6:58 PM,Yes,No,Production,Internal,8-29-22 5:47 PM,8-29-22 5:55 PM,,Platform
TSR-383473,574101,Customer 5,Permanently Closed,Severity 1,Severity 1,8-27-22 7:33 PM,8-27-22 8:04 PM,No,No,Production,Internal,8-27-22 7:33 PM,8-27-22 8:04 PM,,Application
TSR-383449,574077,Customer 5,Permanently Closed,Severity 1,Severity 1,8-27-22 5:02 PM,8-27-22 5:36 PM,Yes,No,Production,Internal,8-27-22 5:02 PM,8-27-22 5:36 PM,,Application
TSR-383244,573862,Customer 5,Permanently Closed,Severity 1,Severity 1,8-27-22 12:17 AM,8-27-22 3:20 AM,No,No,Production,Client,8-27-22 12:17 AM,8-27-22 2:58 AM,,Application
TSR-382919,573503,Customer 5,Permanently Closed,Severity 1,Severity 1,8-26-22 4:46 PM,8-26-22 5:12 PM,Yes,No,Production,Internal,8-26-22 4:46 PM,8-26-22 5:12 PM,,Application
TSR-382261,572767,Customer 5,Permanently Closed,Severity 1,Severity 1,8-25-22 10:05 PM,8-25-22 11:44 PM,Yes,No,Production,Internal,8-25-22 10:05 PM,8-25-22 11:44 PM,,Application
TSR-382012,572507,Customer 5,Permanently Closed,Severity 1,Severity 1,8-25-22 5:18 PM,8-25-22 8:10 PM,Yes,No,Production,Internal,8-25-22 5:18 PM,8-25-22 6:52 PM,,Application
TSR-381596,572051,Customer 5,Permanently Closed,Severity 1,Severity 1,8-25-22 9:49 AM,8-25-22 10:01 AM,Yes,No,Production,Internal,8-25-22 9:49 AM,8-25-22 10:01 AM,,Platform
TSR-381551,571996,Customer 5,Permanently Closed,Severity 1,Severity 1,8-25-22 7:28 AM,8-25-22 8:34 AM,Yes,Yes,Production,Internal,8-25-22 7:28 AM,8-25-22 7:54 AM,,Platform
TSR-381031,571444,Customer 5,Permanently Closed,Severity 1,Severity 1,8-24-22 4:51 PM,8-24-22 8:50 PM,Yes,No,Production,Internal,8-24-22 4:51 PM,8-24-22 8:49 PM,,Platform
TSR-380654,571028,Customer 5,Permanently Closed,Severity 1,Severity 1,8-24-22 8:51 AM,8-24-22 9:28 AM,Yes,No,Production,Internal,8-24-22 8:51 AM,8-24-22 9:17 AM,,Platform
TSR-380195,570523,Customer 5,Permanently Closed,Severity 1,Severity 3,8-23-22 6:54 PM,8-23-22 11:15 PM,Yes,No,Production,Internal,8-23-22 6:54 PM,8-24-22 12:49 AM,,Application
TSR-379778,569755,Customer 5,Permanently Closed,Severity 1,Severity 1,8-23-22 9:02 AM,8-23-22 9:50 AM,Yes,No,Production,Internal,8-23-22 9:02 AM,8-23-22 9:30 AM,,Platform
TSR-378523,568417,Customer 5,Permanently Closed,Severity 1,Severity 1,8-20-22 5:34 PM,8-21-22 3:21 AM,Yes,No,Production,Internal,8-20-22 5:34 PM,8-21-22 3:21 AM,,Application
TSR-378359,568252,Customer 5,Permanently Closed,Severity 1,Severity 1,8-20-22 8:59 AM,8-20-22 9:14 AM,Yes,No,Production,Internal,8-20-22 8:46 AM,8-20-22 9:10 AM,,Platform
TSR-378069,567942,Customer 5,Permanently Closed,Severity 1,Severity 1,8-19-22 6:51 PM,8-20-22 5:37 AM,Yes,No,Production,Internal,8-19-22 6:51 PM,8-20-22 5:31 AM,,Application
TSR-377992,567862,Customer 5,Permanently Closed,Severity 1,Severity 1,8-19-22 5:21 PM,8-19-22 5:41 PM,No,No,Production,Internal,8-19-22 5:21 PM,8-19-22 5:41 PM,,Platform
TSR-377613,567445,Customer 5,Permanently Closed,Severity 1,Severity 1,8-19-22 7:40 AM,8-19-22 8:05 AM,Yes,No,Production,Internal,8-19-22 7:31 AM,8-19-22 7:45 AM,,Platform
TSR-377500,567309,Customer 5,Permanently Closed,Severity 1,Severity 1,8-19-22 3:02 AM,8-19-22 4:14 AM,No,No,Production,Client,8-19-22 3:02 AM,8-19-22 4:06 AM,,Application
TSR-374656,564201,Customer 5,Permanently Closed,Severity 1,Severity 1,8-15-22 4:36 PM,8-15-22 5:29 PM,Yes,No,Production,Internal,8-15-22 4:36 PM,8-15-22 5:09 PM,,Platform
TSR-374266,563790,Customer 5,Permanently Closed,Severity 1,Severity 1,8-14-22 7:42 AM,8-14-22 8:51 AM,Yes,No,Production,Internal,8-14-22 7:31 AM,8-14-22 7:39 AM,,Platform
TSR-374217,563741,Customer 5,Permanently Closed,Severity 1,Severity 1,8-13-22 11:30 PM,8-14-22 12:47 AM,No,No,Production,Client,8-13-22 11:29 PM,8-14-22 12:00 AM,,Application
TSR-374216,563740,Customer 5,Permanently Closed,Severity 1,Severity 1,8-13-22 11:29 PM,8-14-22 12:50 AM,No,No,Production,Client,8-13-22 11:29 PM,8-14-22 12:00 AM,,Application
TSR-374205,563729,Customer 5,Permanently Closed,Severity 1,Severity 1,8-13-22 10:30 PM,8-14-22 12:05 AM,Yes,No,Production,Internal,8-13-22 10:30 PM,8-14-22 12:00 AM,,Application
TSR-374115,563639,Customer 5,Permanently Closed,Severity 1,Severity 1,8-13-22 8:49 AM,8-13-22 9:07 AM,Yes,No,Production,Internal,8-13-22 8:49 AM,8-13-22 9:07 AM,,Platform
TSR-374067,563589,Customer 5,Permanently Closed,Severity 1,Severity 1,8-13-22 3:32 AM,8-13-22 4:46 AM,Yes,No,Production,Client,8-13-22 3:32 AM,8-13-22 4:47 AM,,Application
TSR-373960,563463,Customer 5,Permanently Closed,Severity 1,Severity 1,8-12-22 9:41 PM,8-12-22 10:29 PM,No,No,Production,Client,8-12-22 9:41 PM,8-12-22 10:28 PM,,Application
TSR-373952,563454,Customer 5,Permanently Closed,Severity 1,Severity 1,8-12-22 9:36 PM,8-12-22 10:44 PM,Yes,No,Production,Client,8-12-22 9:36 PM,8-12-22 10:37 PM,,Application
TSR-373653,563141,Customer 5,Permanently Closed,Severity 1,Severity 1,8-12-22 3:48 PM,8-12-22 4:06 PM,Yes,No,Production,Internal,8-12-22 3:48 PM,8-12-22 3:58 PM,,Platform
TSR-373359,562803,Customer 5,Permanently Closed,Severity 1,Severity 1,8-12-22 5:31 AM,8-12-22 7:06 AM,Yes,No,Production,Internal,8-12-22 5:31 AM,8-12-22 7:06 AM,,Application
