Issue key,Issue id,"Custom field 
(CRM Company)",Custom field (Environment),Status,Custom field (Request Category),Created,Resolved,Resolution
TSR-338444,525060,Customer 3,,Waiting on customer,Software Change,24-Jun-22,,
TSR-338349,524962,Customer 3,,Waiting on customer,Software Change,24-Jun-22,,
TSR-337686,524252,Customer 3,,Awaiting Prod implementation,Software Change,23-Jun-22,,
TSR-336850,523302,Customer 3,,In Review,Software Change,22-Jun-22,,
TSR-335382,521722,Customer 3,,â€‹  WIP- Prod implementation,Infrastructure Change,20-Jun-22,,
TSR-333287,519411,Customer 3,,Waiting on customer,Software Change,16-Jun-22,,
TSR-331636,517591,Customer 3,,Closed,Infrastructure Change,14-Jun-22,20-Jul-22,Done
TSR-330897,516778,Customer 3,,Waiting on customer,Software Change,13-Jun-22,,
TSR-330705,516579,Customer 3,,Closed,Infrastructure Change,13-Jun-22,13-Jun-22,Done
TSR-324818,510181,Customer 3,,Waiting on customer,Software Change,03-Jun-22,,
TSR-323143,508358,Customer 3,,Waiting on customer,Software Change,01-Jun-22,,
TSR-320916,505969,Customer 3,,Waiting on customer,Software Change,30-May-22,,
TSR-319904,504917,Customer 3,,Closed,Software Change,27-May-22,30-Jun-22,Done
TSR-319060,504010,Customer 3,,Waiting on customer,Software Change,26-May-22,,
TSR-316727,501437,Customer 3,,Closed,Infrastructure Change,23-May-22,16-Jun-22,Done
TSR-313911,498331,Customer 3,,Closed,Software Change,18-May-22,02-Aug-22,Done
TSR-310333,494474,Customer 3,,Waiting on customer,Software Change,12-May-22,,
TSR-306782,490616,Customer 3,,Awaiting Prod implementation,Infrastructure Change,06-May-22,,
TSR-305160,488856,Customer 3,,Awaiting Prod implementation,Infrastructure Change,04-May-22,,
TSR-305141,488837,Customer 3,,Waiting on customer,Software Change,04-May-22,,
TSR-301777,485184,Customer 3,,Waiting on customer,Software Change,28-Apr-22,,
TSR-301773,485178,Customer 3,,Hold,Software Change,28-Apr-22,,
TSR-299274,482376,Customer 3,,Waiting on customer,Software Change,25-Apr-22,,
TSR-299198,482293,Customer 3,,In Review,Software Change,25-Apr-22,,
TSR-296176,478695,Customer 3,,Waiting on customer,Software Change,20-Apr-22,,
TSR-294800,477029,Customer 3,,Waiting on customer,Software Change,18-Apr-22,,
TSR-294641,476846,Customer 3,,Waiting on customer,Software Change,18-Apr-22,,
TSR-293631,475790,Customer 3,,Waiting on customer,Software Change,14-Apr-22,,
TSR-291319,473218,Customer 3,,Awaiting Non Prod Implementation,Software Change,11-Apr-22,,
TSR-291132,473016,Customer 3,,Waiting on customer,Software Change,11-Apr-22,,
TSR-290182,471926,Customer 3,,Waiting on customer,Software Change,08-Apr-22,,
TSR-288256,469326,Customer 3,,Waiting on customer,Software Change,06-Apr-22,,
TSR-288249,469319,Customer 3,,Awaiting Non Prod Implementation,Software Change,06-Apr-22,,
TSR-288212,469280,Customer 3,,In Review,Infrastructure Change,06-Apr-22,,
TSR-285442,466245,Customer 3,,Waiting on customer,Software Change,01-Apr-22,,
TSR-284013,464707,Customer 3,,Waiting on customer,Software Change,30-Mar-22,,
TSR-281642,462089,Customer 3,,Waiting on customer,Software Change,28-Mar-22,,
TSR-279072,459181,Customer 3,,Awaiting Non Prod Implementation,Software Change,23-Mar-22,,
TSR-278907,458996,Customer 3,,Waiting on customer,Software Change,23-Mar-22,,
TSR-274038,453937,Customer 3,,Waiting on customer,Software Change,21-Mar-22,,
TSR-271380,450950,Customer 3,,Waiting on customer,Software Change,17-Mar-22,,
TSR-270531,450017,Customer 3,,Waiting on customer,Software Change,16-Mar-22,,
TSR-269847,449239,Customer 3,,Waiting on customer,Software Change,15-Mar-22,,
TSR-267781,446941,Customer 3,,Waiting on customer,Software Change,11-Mar-22,,
TSR-266370,445362,Customer 3,,Waiting on customer,Software Change,09-Mar-22,,
TSR-266061,445036,Customer 3,,Waiting on customer,Software Change,09-Mar-22,,
TSR-266056,445031,Customer 3,,Waiting on customer,Software Change,09-Mar-22,,
TSR-265973,444929,Customer 3,,Awaiting Non Prod Implementation,Infrastructure Change,09-Mar-22,,
TSR-265877,444819,Customer 3,,Waiting on customer,Software Change,09-Mar-22,,
TSR-259253,437798,Customer 3,,Waiting on customer,Software Change,03-Mar-22,,
TSR-258124,436547,Customer 3,,Waiting on customer,Software Change,02-Mar-22,,
TSR-252923,430739,Customer 3,,Waiting on customer,Software Change,22-Feb-22,,
TSR-252909,430723,Customer 3,,Waiting on customer,Software Change,22-Feb-22,,
TSR-252304,430034,Customer 3,,Waiting on customer,Software Change,21-Feb-22,,
TSR-249912,427335,Customer 3,,Closed,Software Change,16-Feb-22,11-Apr-22,Done
TSR-249236,426523,Customer 3,,Awaiting Non Prod Implementation,Infrastructure Change,15-Feb-22,,
TSR-249095,426372,Customer 3,,Closed,Software Change,15-Feb-22,11-Apr-22,Done
TSR-245856,422640,Customer 3,,Closed,Infrastructure Change,09-Feb-22,23-Mar-22,Done
TSR-245472,422181,Customer 3,,Waiting on customer,Software Change,09-Feb-22,,
TSR-238575,413773,Customer 3,,Waiting on customer,Software Change,28-Jan-22,,
TSR-237910,412971,Customer 3,,Waiting on customer,Software Change,27-Jan-22,,
TSR-237902,412962,Customer 3,,Waiting on customer,Software Change,27-Jan-22,,
TSR-233527,408011,Customer 3,,Waiting on customer,Software Change,19-Jan-22,,
TSR-229418,403506,Customer 3,,Awaiting Non Prod Implementation,Software Change,12-Jan-22,,
TSR-228068,402014,Customer 3,,Waiting on customer,Software Change,10-Jan-22,,
TSR-225817,399444,Customer 3,,Waiting on customer,Software Change,05-Jan-22,,
TSR-225036,398546,Customer 3,,Closed,Infrastructure Change,04-Jan-22,30-Mar-22,Done
TSR-222326,395469,Customer 3,,Closed,Infrastructure Change,29-Dec-21,18-Jan-22,Done
TSR-221437,394402,Customer 3,,Closed,Software Change,27-Dec-21,13-Jan-22,Done
TSR-221360,394319,Customer 3,,Waiting on customer,Software Change,27-Dec-21,,
TSR-221326,394282,Customer 3,,Closed,Software Change,27-Dec-21,17-Jan-22,Done
TSR-221311,394266,Customer 3,,Waiting on customer,Software Change,27-Dec-21,,
TSR-221307,394262,Customer 3,,Waiting on customer,Software Change,27-Dec-21,,
TSR-221301,394256,Customer 3,,Customer Replied,Software Change,27-Dec-21,,
TSR-221298,394253,Customer 3,,Waiting on customer,Software Change,27-Dec-21,,
TSR-221292,394243,Customer 3,,Closed,Software Change,27-Dec-21,17-Jan-22,Done
TSR-217852,390476,Customer 3,,Closed,Software Change,20-Dec-21,17-Jan-22,Done
TSR-217748,390357,Customer 3,,Closed,Software Change,20-Dec-21,18-Jan-22,Done
TSR-216227,388718,Customer 3,,Closed,Infrastructure Change,16-Dec-21,15-Jan-22,Done
TSR-213324,385079,Customer 3,,Awaiting Non Prod Implementation,Software Change,13-Dec-21,,
TSR-211896,383349,Customer 3,,Closed,Software Change,09-Dec-21,18-Jan-22,Done
TSR-209839,381134,Customer 3,,Closed,Software Change,07-Dec-21,18-Jan-22,Done
TSR-205963,376758,Customer 3,,Closed,Software Change,30-Nov-21,13-Jan-22,Done
TSR-205125,375793,Customer 3,,Closed,Software Change,29-Nov-21,13-Jan-22,Done
TSR-205121,375789,Customer 3,,Closed,Software Change,29-Nov-21,13-Jan-22,Done
TSR-204853,375493,Customer 3,,Closed,Infrastructure Change,29-Nov-21,30-Mar-22,Done
TSR-197310,367710,Customer 3,,Closed,Software Change,24-Nov-21,11-Apr-22,Done
TSR-196917,367257,Customer 3,,Closed,Software Change,24-Nov-21,18-Jan-22,Done
TSR-196280,366518,Customer 3,,Closed,Software Change,23-Nov-21,13-Jan-22,Done
TSR-196275,366512,Customer 3,,Closed,Software Change,23-Nov-21,13-Jan-22,Done
TSR-196268,366505,Customer 3,,Closed,Software Change,23-Nov-21,13-Jan-22,Done
TSR-195709,365896,Customer 3,,In Review,Software Change,22-Nov-21,,
TSR-194251,364244,Customer 3,,Waiting on customer,Software Change,19-Nov-21,,
TSR-193793,363740,Customer 3,,Waiting on customer,Software Change,18-Nov-21,,
TSR-190308,359863,Customer 3,,Closed,Software Change,12-Nov-21,13-Jan-22,Done
TSR-189264,358630,Customer 3,,In Review,Software Change,10-Nov-21,,
TSR-189162,358520,Customer 3,,Waiting on customer,Software Change,10-Nov-21,,
TSR-189108,358458,Customer 3,,Awaiting Non Prod Implementation,Software Change,10-Nov-21,,
TSR-188401,357637,Customer 3,,Closed,Software Change,09-Nov-21,13-Jan-22,Done
TSR-188389,357625,Customer 3,,Closed,Software Change,09-Nov-21,13-Jan-22,Done
TSR-187554,356697,Customer 3,,Waiting on customer,Software Change,08-Nov-21,,
TSR-185360,354184,Customer 3,,Closed,Software Change,03-Nov-21,18-Jan-22,Done
TSR-181227,349564,Customer 3,,In Review,Software Change,27-Oct-21,,
TSR-179628,347775,Customer 3,,In Review,Infrastructure Change,25-Oct-21,,
TSR-178071,345995,Customer 3,,Waiting on customer,Software Change,21-Oct-21,,
TSR-178056,345980,Customer 3,,Closed,Software Change,21-Oct-21,13-Jan-22,Done
TSR-177165,344963,Customer 3,,Waiting on customer,Software Change,20-Oct-21,,
TSR-177158,344956,Customer 3,,Closed,Software Change,20-Oct-21,13-Jan-22,Done
TSR-177155,344953,Customer 3,,Closed,Software Change,20-Oct-21,18-Jan-22,Done
TSR-175758,343316,Customer 3,,Closed,Software Change,18-Oct-21,13-Jan-22,Done
TSR-173183,340587,Customer 3,,In Review,Software Change,14-Oct-21,,
TSR-173171,340573,Customer 3,,Waiting on customer,Software Change,14-Oct-21,,
TSR-172616,339961,Customer 3,,Waiting on customer,Software Change,14-Oct-21,,
TSR-172369,339677,Customer 3,,Waiting on customer,Software Change,13-Oct-21,,
TSR-172285,339589,Customer 3,,Closed,Software Change,13-Oct-21,18-Jan-22,Done
TSR-170804,337935,Customer 3,,In Review,Software Change,11-Oct-21,,
TSR-169367,336343,Customer 3,,Closed,Software Change,07-Oct-21,18-Jan-22,Done
TSR-168205,335031,Customer 3,,Closed,Software Change,06-Oct-21,18-Jan-22,Done
TSR-166693,333293,Customer 3,,Closed,Software Change,04-Oct-21,18-Jan-22,Done
TSR-165379,331862,Customer 3,,Closed,Software Change,30-Sep-21,18-Jan-22,Done
TSR-163584,329813,Customer 3,,Waiting on customer,Software Change,28-Sep-21,,
TSR-163557,329786,Customer 3,,In Review,Software Change,28-Sep-21,,
TSR-162988,329128,Customer 3,,Closed,Software Change,27-Sep-21,13-Jan-22,Done
TSR-162621,328691,Customer 3,,Closed,Software Change,27-Sep-21,13-Jan-22,Done
TSR-158828,324507,Customer 3,,Waiting on customer,Software Change,20-Sep-21,,
TSR-158822,324500,Customer 3,,In Review,Software Change,20-Sep-21,,
TSR-157676,323251,Customer 3,,Closed,Software Change,17-Sep-21,13-Jan-22,Done
TSR-156421,321794,Customer 3,,Awaiting CAB approval,Software Change,15-Sep-21,,
TSR-156333,321698,Customer 3,,Waiting on customer,Software Change,15-Sep-21,,
TSR-156101,321446,Customer 3,,Closed,Software Change,15-Sep-21,13-Jan-22,Done
TSR-156090,321435,Customer 3,,Closed,Software Change,15-Sep-21,12-Jan-22,Done
TSR-156084,321429,Customer 3,,Closed,Software Change,15-Sep-21,12-Jan-22,Done
TSR-155800,321101,Customer 3,,Closed,Software Change,15-Sep-21,13-Jan-22,Done
TSR-155666,320957,Customer 3,,Awaiting CAB approval,Software Change,14-Sep-21,,
TSR-155661,320951,Customer 3,,Awaiting CAB approval,Software Change,14-Sep-21,,
TSR-155648,320936,Customer 3,,Closed,Software Change,14-Sep-21,12-Jan-22,Done
TSR-154925,317859,Customer 3,,Canceled,Software Change,13-Sep-21,12-Jan-22,Resolved
TSR-154820,316309,Customer 3,,Closed,Software Change,13-Sep-21,13-Jan-22,Done
TSR-153364,313490,Customer 3,,Waiting on customer,Software Change,09-Sep-21,,
TSR-152398,312431,Customer 3,,In Review,Software Change,08-Sep-21,,
TSR-151015,310875,Customer 3,,Closed,Software Change,06-Sep-21,12-Jan-22,Done
TSR-149599,309315,Customer 3,,Closed,Software Change,02-Sep-21,12-Jan-22,Done
TSR-148651,308257,Customer 3,,Closed,Software Change,01-Sep-21,12-Jan-22,Done
TSR-148193,307749,Customer 3,,Canceled,Software Change,31-Aug-21,13-Jan-22,Resolved
TSR-148180,307734,Customer 3,,Closed,Software Change,31-Aug-21,08-Jan-22,Done
TSR-122432,278523,Customer 3,,In Review,Software Change,15-Jul-21,,
TSR-111918,266145,Customer 3,,Awaiting Non Prod Implementation,Software Change,25-Jun-21,,
TSR-111565,265561,Customer 3,,In Review,Software Change,24-Jun-21,,
TSR-110150,263987,Customer 3,,Awaiting Non Prod Implementation,Software Change,22-Jun-21,,
TSR-407857,600677,Customer 4,,In Review,Software Change,04-Oct-22,,
TSR-407848,600668,Customer 4,,In Review,Software Change,04-Oct-22,,
TSR-407802,600615,Customer 4,,Waiting on customer,Software Change,04-Oct-22,,
TSR-405487,598109,Customer 4,,Awaiting Non Prod Implementation,Infrastructure Change,29-Sep-22,,
TSR-405431,598053,Customer 4,,Hold,Software Change,29-Sep-22,,
TSR-405422,598042,Customer 4,,Waiting on customer,Software Change,29-Sep-22,,
TSR-405239,597853,Customer 4,,In Review,Software Change,29-Sep-22,,
TSR-403152,595592,Customer 4,,Waiting on customer,Software Change,27-Sep-22,,
TSR-403147,595587,Customer 4,,Waiting on customer,Software Change,27-Sep-22,,
TSR-402355,594705,Customer 4,,Customer Replied,Software Change,26-Sep-22,,
TSR-402098,594414,Customer 4,,WIP- NON prod Implementation,Software Change,25-Sep-22,,
TSR-402079,594395,Customer 4,,Awaiting Non Prod Implementation,Software Change,25-Sep-22,,
TSR-401062,593310,Customer 4,,Hold,Software Change,23-Sep-22,,
TSR-400376,592580,Customer 4,,Hold,Software Change,22-Sep-22,,
TSR-400357,592557,Customer 4,,Customer Replied,Software Change,22-Sep-22,,
TSR-398573,590556,Customer 4,,In Review,Software Change,20-Sep-22,,
TSR-397804,589720,Customer 4,,In Review,Infrastructure Change,19-Sep-22,,
TSR-397737,589648,Customer 4,,Awaiting Non Prod Implementation,Software Change,19-Sep-22,,
TSR-397729,589634,Customer 4,,Waiting on customer,Software Change,19-Sep-22,,
TSR-397617,589510,Customer 4,,In Review,Software Change,18-Sep-22,,
TSR-397600,589492,Customer 4,,Waiting on customer,Software Change,18-Sep-22,,
TSR-396097,587845,Customer 4,,Waiting on customer,Software Change,15-Sep-22,,
TSR-395858,587593,Customer 4,,Waiting on customer,Software Change,15-Sep-22,,
TSR-395517,587218,Customer 4,,Waiting on customer,Software Change,14-Sep-22,,
TSR-394847,586491,Customer 4,,Waiting on customer,Software Change,14-Sep-22,,
TSR-391326,582661,Customer 4,,Waiting on customer,Software Change,08-Sep-22,,
TSR-391284,582617,Customer 4,,Waiting on customer,Software Change,08-Sep-22,,
TSR-391278,582611,Customer 4,,Waiting on customer,Software Change,08-Sep-22,,
TSR-391228,582557,Customer 4,,Waiting on customer,Software Change,08-Sep-22,,
TSR-390890,582186,Customer 4,,Waiting on customer,Software Change,07-Sep-22,,
TSR-389960,581146,Customer 4,,Waiting on customer,Software Change,06-Sep-22,,
TSR-389945,581126,Customer 4,,In Review,Software Change,06-Sep-22,,
TSR-389284,580411,Customer 4,,Waiting on customer,Software Change,05-Sep-22,,
TSR-389245,580370,Customer 4,,Waiting on customer,Software Change,05-Sep-22,,
TSR-389239,580364,Customer 4,,Waiting on customer,Software Change,05-Sep-22,,
TSR-388852,579939,Customer 4,,Awaiting Non Prod Implementation,Infrastructure Change,05-Sep-22,,
TSR-387569,578559,Customer 4,,Awaiting Prod implementation,Software Change,02-Sep-22,,
TSR-386729,577635,Customer 4,,Waiting on customer,Software Change,01-Sep-22,,
TSR-385828,576664,Customer 4,,Waiting on customer,Software Change,31-Aug-22,,
TSR-385824,576659,Customer 4,,WIP- NON prod Implementation,Software Change,31-Aug-22,,
TSR-385820,576655,Customer 4,,Waiting on customer,Software Change,31-Aug-22,,
TSR-384830,575583,Customer 4,,Waiting on customer,Software Change,30-Aug-22,,
TSR-384825,575578,Customer 4,,Waiting on customer,Software Change,30-Aug-22,,
TSR-384775,575509,Customer 4,,Waiting on customer,Software Change,30-Aug-22,,
TSR-384295,574989,Customer 4,,Waiting on customer,Software Change,29-Aug-22,,
TSR-383685,574317,Customer 4,,In Review,Software Change,28-Aug-22,,
TSR-382835,573410,Customer 4,,Awaiting Prod implementation,Infrastructure Change,26-Aug-22,,
TSR-382553,573108,Customer 4,,Customer Replied,Software Change,26-Aug-22,,
TSR-381588,572042,Customer 4,,Waiting on customer,Software Change,25-Aug-22,,
TSR-380684,571061,Customer 4,,Waiting on customer,Software Change,24-Aug-22,,
TSR-380680,571057,Customer 4,,Waiting on customer,Software Change,24-Aug-22,,
TSR-380677,571054,Customer 4,,Waiting on customer,Software Change,24-Aug-22,,
TSR-380593,570966,Customer 4,,Waiting on customer,Software Change,24-Aug-22,,
TSR-380588,570960,Customer 4,,Waiting on customer,Software Change,24-Aug-22,,
TSR-379417,569363,Customer 4,,Waiting on customer,Software Change,22-Aug-22,,
TSR-379353,569293,Customer 4,,Customer Replied,Software Change,22-Aug-22,,
TSR-378099,567974,Customer 4,,Closed,Software Change,19-Aug-22,26-Aug-22,Done
TSR-377698,567532,Customer 4,,Waiting on customer,Software Change,19-Aug-22,,
TSR-377598,567428,Customer 4,,Waiting on customer,Software Change,19-Aug-22,,
TSR-377594,567423,Customer 4,,Waiting on customer,Software Change,19-Aug-22,,
TSR-376390,566088,Customer 4,,Waiting on customer,Software Change,17-Aug-22,,
TSR-375933,565597,Customer 4,,Canceled,Software Change,17-Aug-22,17-Aug-22,Canceled
TSR-375396,564994,Customer 4,,Waiting on customer,Software Change,16-Aug-22,,
TSR-375377,564973,Customer 4,,Awaiting Non Prod Implementation,Software Change,16-Aug-22,,
TSR-375049,564619,Customer 4,,Closed,Software Change,16-Aug-22,18-Aug-22,Done
TSR-375045,564615,Customer 4,,Closed,Software Change,16-Aug-22,18-Aug-22,Done
TSR-374134,563658,Customer 4,,Waiting on customer,Software Change,13-Aug-22,,
